,desc,location,size,value
1129,4 bedroomed maisonette with elegant finishes,"Utawala behind AP training school, Utawala , Nairobi, Nairobi",4 Bedrooms,KSh 11000000
1130,"Lavington, An Elegant 5 Bedroom Villa for sale","Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 74000000
1131,5 Bedroom House for sale in Spring Valley,"Five Bedroom House For Sale In Spring Valley, Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1132,Karen Stand Alone House-Miotoni,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
1133,"Runda Eagle Park , House for sale","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 180000000
1134,"Modern 5 Bedroom Home, Karen","Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1135,Karen - 4 Bedroom House,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
1136,5 Bedroom Multi-Storey Mansion,"Spring Valley, Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
1137,4 Bedroom Townhouse Runda,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 36000000
1138,Bright And Inviting 4 Bedroom House,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1139,"4 Bedroom  Townhouse for sale on Murichu Road, Karen","Muricho road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
1140,5 Bedroom Villa,"Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 180000000
1141,Beautifully Done 5 Double Storey House,"Loresho, Loresho, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1142,5 Bedroom Townhouse Kerarapon,"Kerarapon, Nairobi, Nairobi",5 Bedrooms,KSh 35000000
1143,Brookside:4 Bedroom Townhouse for sale,"brookside, Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 58000000
1144,"3 bedroom, 12 room, country style home on 1/2 acre","Dagoretti Road, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 50000000
1145,Magnificent 5 Bedroom Townhouse  at  Nairobi,"Lavington, Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1146,Exquisitely Crafted House in Runda,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1147,Ambassadorial House,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1148,Juja South Townhouses,"Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
1149,BEAUTIFUL 4 BEDROOMS TOWNHOUSE FOR SALE,"Mahiga Mairu, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
1150,"House at Kiserian Rangau,","Kiserian, Kiserian, Nairobi, Nairobi",2 Bedrooms,KSh 3200000
1151,5 Bedroom House For Sale In Muthaiga - 104094356,"Thigiri Ridge, Muthaiga, Nairobi, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1152,an Ellegant Double Story House in Muthaiga,"Muthaiga drive, Muthaiga North, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1153,5 Bedroom House For Sale In Runda - 103437521,"Runda Close to Un Offices, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1154,5 Bedroom House For Sale In Runda - 103328520,"Mimosa Runda Close to Un Offices, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
1155,Tigoni Beautiful 4 bedroom house on 2.56 Acres Prime Land.,"Tigoni Prime 2.56 Acres Land on sale with 1 Acre Paradise-like Garden, Tigoni, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
1156,5 Bedroom Townhouse For Sale In Lavington,"Gitanga Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
1157,4 Bedroom House For Sale In Donholm (Kenya) - 3KE1368403,"Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 16000000
1158,Beautifully Built Maisonette in Kahawa Sukari,"kahawa sukari, Thika Road, Nairobi, Nairobi",6 Bedrooms,KSh 35000000
1159,4 Bedroom Townhouse Plus 2 Bedroom Guestwing for sale in Westlands,"Waiyaki, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 28500000
1160,Unbeatable Home for sale in Karen,"Nairobi, Riruta, Nairobi, Nairobi",3 Bedrooms,KSh 50000000
1161,Karen- 5 Bedroom House for sale,"karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
1162,The Ambassadorial 6 Bedroom Sq in Runda,"Runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
1163,5 Bedroom House For Sale In Runda - 105220401,"Runda Close to the Us Embassies, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1164,6 Bedroom Ambassadorial House for sale on 36 Acres in Muthaiga,"Muthaiga Rd, Muthaiga, Nairobi, Nairobi",6 Bedrooms,Contact seller for price
1165,Tigoni -Beautiful 4 Bedroom House on 2.56 Acres Prime Land,"Tigoni, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
1166,"5 Bedroom Townhouse To Let  in Karen, Nairobi","Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
1167,4 Bedroom House at The Water Front Gardens Estate,"waiyaki way, Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,KSh 28000000
1168,5 Bedroom House for sale in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 135000000
1169,"5 Bedroom Townhouse in Westlands, Nairobi","Grevillea Groove, Westlands, Nairobi, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1170,4 Bedroom Maisonette at Juja Farm Town on 1/4 an Acre.,"Juja Farm Maisonette, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 3550000
1171,Newly Renovated 3 Bedroom Bungalow on Half Acre,"Karen, Nairobi, Nairobi",3 Bedrooms,KSh 50000000
1172,Ultra-Modern And Exquisite 5 Bedroom House in Nyari,"Nyari, Nyari, Nairobi, Nairobi",5 Bedrooms,KSh 160000000
1173,THREE BEDROOM HOUSE WITH FOUR RENTAL UNITS- SOUTH,"South B, South B, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
1174,New Exquisite 5 Bedroom Town House,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1175,6 Bedroom House For Sale In Lavington (Kenya) - 3KE1364210,"Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 400000000
1176,Exclusive 4 Bedrooms Villa in a Gated Community  in Runda Park.,"Mimosa Road, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
1177,4  Bedroom House in Ruiru,"Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 15500000
1178,Windsor View Court,"Kiambu Road., Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 18000000
1179,5 Bedroom Townhouse for sale in Westlands,"Grevillea Grove, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
1180,3 Bedroom Apartment,"6th Avenue, Parklands, Nairobi, Nairobi",3 Bedrooms,KSh 27000000
1181,5 Bedroom Townhouse Karen,"Kasuku Dr, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1182,7 Bedroom House For Sale In Runda,"Close to the Village Market, off Un Avenue, Runda, Nairobi, Nairobi",7 Bedrooms,KSh 130000000
1183,5 Bedroom Townhouse for sale in Spring Valley,"Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1184,Runda (old Runda) 2 Lovely 6 Bedroom mordern Houses located on a 1.068 Acre of Land,"runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 220000000
1185,New Townhouse for sale in Lavington,"lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 64000000
1186,Luxurious 5 Bedroom House in Gated Community Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
1187,Thome House next to Windsor,"Thome, Nairobi, Nairobi",7 Bedrooms,KSh 60000000
1188,Fabulous 4 Bedroom Town House,"Waiyaki  Way, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
1189,5 Bedroom House For Sale In Karen (Kenya) - 3KE1341815,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1190,Lavington-5 Bedroom Corner Townhouse,"Lavington chalbi drive close to Lavington mall,International schools, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
1191,Immaculate 3 Bedroom Home for sale - South C,"South C, Nairobi, Nairobi",3 Bedrooms,KSh 18000000
1192,5 Bedroom House for sale in Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1193,Garden Estate 5 Bedroom House with Family Room,"Garden Estate, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
1194,Elegant Commercial Double Storey House with Swimming Pool on 1 Acre in Lavington,"Lavington, Lavington, Nairobi, Nairobi",7 Bedrooms,KSh 400000000
1195,10 Bedroom House For Sale In Karen (Kenya) - 3KE1375839,"Karen, Nairobi, Nairobi",10 Bedrooms,KSh 150000000
