,desc,location,size,value
1425,Beautiful 4 Bedroom Villa - Redhill Limuru,"Limuru road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
1426,Affordable Villas for sale,"Ruai, Riruta, Nairobi, Nairobi",3 Bedrooms,KSh 5950000
1427,Magnificent Ambassadorial House for sale in Runda,"Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
1428,5 Bedroom Townhouse for sale in Karen,"Nandi Rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
1429,5 bedroom Townhouse for sale in Karen,"Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
1430,4 Bedroom Townhouse for sale in Westlands,"Grevillea Grove, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 59000000
1431,5 Bedroom House For Sale In Runda - 103461689,"Runda Close to Un, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
1432,5 Bedroom House For Sale In Runda - 106092136,"Runda, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1433,5 Bedroom Townhouse,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1434,5 Bedroom Townhouse For Sale In Spring Valley - 103096284,"Spring Valley Shanzu Road . , Spring Valley, Nairobi, Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 62000000
1435,4 Bedroom Townhouse for sale in Westlands,"Grevillea Grove, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1436,Hillview:7bedroom all Ensuite Mansion,"lower kabete road, Hill view estate , Nairobi, Nairobi",7 Bedrooms,KSh 150000000
1437,4 Bedroom Townhouse For sale Loresho Ridge,"Loresho Ridge, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 39000000
1438,A Charming 4 Bedroom Maissonatte In Parklands,"Parklands 2nd avenue, Parklands, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
1439,5 Bedroom House For Sale In Runda - 103370584,"Runda Close To Un, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
1440,5  bedroom  double  storey  house  at  Westlands.,"Westlands, Nairobi, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 160000
1441,4 Bedroom Townhouse For Sale In Westlands (Kenya) - 3KE1320951,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 38000000
1442,5 Bedroom House for sale in Karen,"Karen Ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1443,Town House 4 Bedroom with Dsq –at Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1444,5 Bedroom Townhouse for sale in Lavington,"Convent Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
1445,3 Bedroom Massionate Plus Dsq for sale in Syokimau,"Mombasa road, Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 13000000
1446,Elegant 4 Bedroom Villa on General Mathenge Drive,"General Mathenge Drive, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
1447,4 Bedroom Town House for sale Along Kiambu Road,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
1448,Great House For Sale,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 61000000
1449,Lavington-5 Bedroom Townhouse in a Community of 4 Units with Garden.,"Lavington close to International schools,shopping malls,IOM offices and Embassies., Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1450,3 Bedroom Bungalow along Ngong road for sale.,"Ngong Road, CBD, Nairobi, Nairobi",3 Bedrooms,KSh 11000000
1451,Town House for sale,"KAREN BOGANI, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 98000000
1452,4 Bedroom All Ensuite in Lower Kabete,"Lower Kabete, Lower Kabete, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
1453,4 Bedroom House for sale in Fair Acres Karen,"Fair Acres Rd, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
1454,"Beautiful 4 Bedroom House, Karen","Karen Hill crest school, Karen, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
1455,Colonial Style 9 Bedroom Home for sale,"Lower Kabete, Nairobi, Nairobi",9 Bedrooms,KSh 180000000
1456,4 Bedroom House for Sale in Karen,"The Hub, Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1457,4 Bedroom House For Sale In Karen Ngong Road,"Karen ngong road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1458,Beautiful 4-Bedroom Mansionette for Sale In Eagle Plains Estate Mombasa Road,"mombasa road, Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 24900000
1459,3 Bedroom House For Sale In Kileleshwa,"E. k Center. Kangundo Rd, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 47000000
1460,3 Bedroom House in Kileleshwa,"Oloitoktok rd, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 27800000
1461,4 Bedroom plus Dsq all Ensuite in Kileleshwa Makueni Road,"makueni road, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
1462,4 Bedroom Karen House For Sale,"Karen Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 98000000
1463,A Spacious Corner House 5 Bedroom All Ensuite for sale in Kileleshwa,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 45000000
1464,Executive 5 Bedroom Maisionatte,"Garden Estate, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1465,6 Bedroom House for sale in Nyari,"Nyari, Nairobi, Nairobi",6 Bedrooms,KSh 350000000
1466,"Elegant 4 Bedroom Townhouse, off Langata Road","off Langata Road, Langata, Nairobi, Nairobi",4 Bedrooms,KSh 26800000
1467,Beautiful 5 Bedroom All Ensuite House in Kyuna,"Kyuna, Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 98000000
1468,Runda House  at Niarobi,"runda, Runda, Nairobi, Nairobi",7 Bedrooms,KSh 100000000
1469,An Elegant 5 Bedroom Town House House,"Kitisuru Road, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1470,5 Bedroom House For Sale In Runda - 105517650,"Mimosa, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 330000000
1471,Pine Wood Estate Kenyatta Road Opposite the New Reign Hotel,"Kenyatta Road, Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 3990000
1472,5 Bedroom House for Sale in Karen,"Miotoni Rd Karen, Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1473,3 Bedroom House For Sale In South B,"South B, Riruta, Nairobi, Nairobi",3 Bedrooms,KSh 14500000
1474,5 Bedroom Townhouse for sale in Lavington,"Convent Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
1475,5 Bedroom plus Dsq Bungalow in Spring Valley,"DONYO SABUK AVENUE, Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1476,4 Bedroom Town House for sale in Imara Daima,"1, Imara Daima, Nairobi, Nairobi",4 Bedrooms,KSh 19000000
1477,5 Bedroom Townhouse at Karen,"Miotoni Rd., Karen, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
1478,Elegant 4 Bedroom Townhouse Grevillea,"Grevillea Grove, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1479,4 Bedrooms Maisonette with DSQ Near Safari Park Estate Mirema Drive,"Mirema Drive, Roysambu, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
1480,4 Bedroom Bungalow for sale on Ngong Road Kirarapon,"ngong road, Ngong Road, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
1481,4 Bedroom Townhouse For in Spring Valley for sale,"Spring Valley, Spring Valley, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
1482,Lovely Bungalow in Galleria,"Galleria, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1483,4 Bedroom House for sale in Kiambu,"Kiambu, Riabai Rd, Riruta, Nairobi, Nairobi",4 Bedrooms,KSh 23750000
1484,10 Bedroom Town-House for sale in Karen,"Karen, Nairobi, Nairobi",10 Bedrooms,KSh 40000000
1485,Joska 3 Bedroom Bungalow,"Joska, Nairobi, Nairobi",3 Bedrooms,KSh 2950000
1486,Athi River-4 Bedroom Maisonettes,"ATHI RIVER-4 BEDROOM MAISONETTES  FOR SALE,  Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 13000000
1487,4 Bedroom Maisonette at Mlolongo,"Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 8000000
1488,5 Bedroom Lovely Villa In Lavington,"Kabarsiran Avenue, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1489,A prime 0.75 acre plot with 2 Houses for Sale on Njumbi Road - Lavington,"Njumbi Road, Lavington, Nairobi, Nairobi",1 Bedrooms,KSh 200000000
1490,4 Bedroom House For Sale In Runda (Kenya) - 3KE1344875,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 147800000
1491,4 Bedroom Townhouse For Sale In Kilimani,"Mugo Karibu Rd, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 28000000
1492,Newly Built 5 Bedroom Town Houses In Loresho.,"Loresho, Loresho, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
1493,Luxurious 5 Bed Rooms Villa with 2 Dsq on Half Acre in Karen,"FOREST ROAD, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
1494,All that glitters! Ridgeways mansion,"Ridgeways, Nairobi, Nairobi",4 Bedrooms,KSh 120000000
1495,"Amazing 7 Bedroom House, Westlands","Westlands, Westlands, Nairobi, Nairobi",7 Bedrooms,KSh 350000000
1496,A Charming and  Spacious 4 Bedroom Maisonette in Parklands,"Parklands 2nd avenue, Parklands, Nairobi, Nairobi",4 Bedrooms,KSh 29000000
1497,"5 Bedroom Home & 2 Bedroom Guest Cottage , Karen","Karen, Nairobi, Nairobi",5 Bedrooms,Contact seller for price
1498,An Exceptional Family Home - 5 Bedroom Storey for sale in Old Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 250000000
1499,5 Bedroom House For Sale In Runda - 106096366,"Runda Flemtree, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 255000000
